Country,Year,Population (M),Population WPP (000s),Pop Density (per km²),Median Age (yrs),Pop Growth Rate (%),"Birth Rate (per 1,000)",Fertility Rate,"Death Rate (per 1,000)",Life Expectancy (yrs),"Infant Mortality (per 1,000)","Net Migration Rate (per 1,000)",Net Migrants (000s),GDP (Current USD),GDP Per Capita (USD),Health Exp (% of GDP),Health Exp Per Capita (USD),Govt Health Exp (% Gov Exp),Out-of-Pocket (% Health Exp),Lebanon CPI (Dec 2013=100),"Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)",Male Deaths (thousands),Female Deaths (thousands),Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)"
Egypt,2010,89.1961,89196.072,89.604,22.206,1.924,27.491,3.296,6.076,69.078,23.317,-2.176,-194.1,218983666062.0,2455.08,4.15319157,101.96,4.36156321,62.62810135,,45104.004,44092.069,292.627,249.357,66.692,71.534,54.113,58.767,11.739,13.869,5.065,5.6,68.981,50.574,251.105,160.692,80.442,46.996,223.076,133.86
Egypt,2011,91.0931,91093.059,91.509,22.382,2.281,27.476,3.311,6.049,69.232,22.384,1.385,126.17,235989672978.0,2590.64,4.35707569,112.88,4.82708216,60.49510574,,46048.544,45044.515,297.675,253.387,66.844,71.69,54.185,58.842,11.731,13.857,5.051,5.577,68.499,49.196,246.715,156.983,79.611,46.219,219.497,131.057
Egypt,2012,93.161,93161.001,93.587,22.548,2.209,28.117,3.4,5.999,69.464,21.446,-0.028,-2.626,279116666667.0,2996.07,4.45891809,133.59,4.38540936,60.88405991,,47092.942,46068.06,301.81,257.096,67.097,71.898,54.35,58.958,11.739,13.863,5.04,5.561,66.804,47.49,240.096,152.436,77.354,45.084,213.763,127.546
Egypt,2013,95.3336,95333.553,95.769,22.686,2.399,28.591,3.49,5.966,69.632,20.641,1.367,130.305,288434108527.0,3025.53,4.6710043,141.32,4.1566329,57.93513489,,48189.501,47144.052,307.549,261.242,67.263,72.068,54.451,59.065,11.748,13.873,5.027,5.549,66.673,46.345,235.173,148.553,76.776,44.212,209.481,124.366
Egypt,2014,97.5287,97528.654,97.974,22.797,2.156,28.393,3.49,5.879,69.911,19.799,-0.952,-92.801,305595408895.0,3133.39,4.77415323,149.59,4.16148472,55.12137222,,49290.446,48238.207,309.809,263.52,67.574,72.31,54.68,59.223,11.784,13.91,5.021,5.55,64.705,44.67,227.406,143.706,74.178,42.882,202.537,120.476
Egypt,2015,99.5973,99597.342,100.053,22.878,2.043,28.184,3.5,5.818,70.135,19.074,-1.941,-193.298,329366576819.0,3306.98,5.06153202,167.38,5.05797672,58.8299675,,50313.586,49283.756,313.263,266.154,67.809,72.518,54.853,59.371,11.824,13.955,5.016,5.557,63.994,43.481,221.315,139.602,72.995,41.822,197.066,117.052
Egypt,2016,101.6446,101644.589,102.109,22.959,2.027,26.679,3.35,5.707,70.437,18.366,-0.704,-71.604,332441717791.0,3270.63,5.07462406,165.97,5.05797672,58.99694824,,51327.304,50317.285,312.883,267.203,68.164,72.756,55.142,59.544,11.884,14.015,5.018,5.573,61.495,42.096,212.91,135.196,69.678,40.541,189.299,113.397
Egypt,2017,103.6961,103696.057,104.17,23.048,1.97,26.1,3.31,5.628,70.709,17.712,-0.771,-80.0,248362771739.0,2395.1,5.34661913,128.06,5.41994762,56.39825058,,52358.181,51337.876,314.433,269.173,68.475,72.982,55.394,59.712,11.948,14.083,5.024,5.595,59.614,40.886,205.708,131.219,67.216,39.399,182.698,110.083
Egypt,2018,105.6821,105682.094,106.165,23.166,1.826,23.592,3.02,5.533,70.974,17.077,0.197,20.788,262588632527.0,2484.7,4.74892998,118.0,4.72158527,62.61043167,,53361.197,52320.897,314.831,269.931,68.773,73.209,55.631,59.88,12.017,14.158,5.037,5.622,57.822,39.67,199.116,127.446,65.042,38.306,176.748,106.996
Egypt,2019,107.5532,107553.158,108.045,23.328,1.686,22.267,2.87,5.477,71.213,16.487,0.066,7.05,318678815490.0,2962.99,4.5994668,136.28,4.82284689,62.50646591,,54305.283,53247.874,317.062,272.056,69.041,73.415,55.844,60.035,12.086,14.234,5.055,5.654,56.204,38.632,193.442,124.214,63.156,37.383,171.658,104.367
Egypt,2020,109.3151,109315.124,109.815,23.488,1.565,22.004,2.85,6.407,69.79,15.907,0.055,6.016,383817841547.0,3511.11,4.15384626,145.85,5.16112232,59.31352997,,55193.553,54121.571,374.858,325.506,67.691,71.958,54.375,58.457,10.714,12.864,4.117,4.929,57.507,39.319,205.786,134.399,71.2,42.918,185.334,115.884
Egypt,2021,110.957,110957.008,111.464,23.636,1.417,21.154,2.75,7.036,68.976,15.355,0.056,6.161,424671765456.0,3827.35,4.60955143,176.42,6.79944944,54.90198135,,56026.137,54930.87,404.195,376.481,67.185,70.808,53.806,57.243,10.2,11.876,3.707,4.257,59.164,40.726,209.943,145.479,76.255,48.388,190.189,127.668
Egypt,2022,112.6182,112618.25,113.133,23.813,1.554,21.091,2.75,5.675,71.01,14.885,0.122,13.707,476747720365.0,4233.31,4.72362804,199.97,6.76073837,53.72835159,,56867.199,55751.05,346.862,292.275,68.831,73.24,55.447,59.68,11.797,14.019,4.893,5.536,53.935,36.608,196.626,126.535,64.934,38.646,177.1,108.883
Egypt,2023,114.5358,114535.772,115.059,24.028,1.821,21.004,2.75,5.461,71.633,14.556,2.663,305.006,395926075163.0,3456.79,4.88449335,168.85,6.92673063,57.19506836,,57830.586,56705.185,338.919,286.529,69.493,73.809,56.103,60.247,12.134,14.343,5.056,5.698,51.912,35.536,184.466,118.577,60.274,35.851,164.923,100.929
Egypt,2024,116.5383,116538.258,117.071,24.254,1.647,20.915,2.735,5.506,71.806,13.172,1.063,123.884,389059911004.0,3338.47,,,,,,58840.145,57698.113,348.423,293.183,69.652,74.009,56.122,60.316,12.254,14.387,5.173,5.75,48.425,32.438,186.816,117.227,59.566,34.707,169.058,101.211
France,2010,65.0262,63417.363,115.016,39.013,0.49,12.692,2.017,8.625,81.405,3.587,0.83,52.644,2646230027988.0,40694.82,11.22430801,4567.71,13.74877739,11.44470692,,30708.895,32708.467,278.716,268.242,77.997,84.661,63.426,70.05,18.538,22.717,8.382,10.624,27.344,13.139,120.661,58.091,48.875,22.522,115.675,53.657
France,2011,65.3408,63733.777,115.59,39.262,0.506,12.448,1.995,8.493,81.781,3.361,1.101,70.178,2870408553990.0,43929.78,11.17601013,4909.6,13.81847191,11.45023441,,30861.392,32872.385,275.995,265.301,78.399,85.001,63.807,70.371,18.831,23.019,8.596,10.857,26.332,12.804,117.367,56.771,47.286,21.926,112.627,52.558
France,2012,65.6577,64058.465,116.178,39.518,0.511,12.326,1.99,8.832,81.739,3.467,1.612,103.287,2683007095787.0,40863.58,11.33749485,4632.91,13.81584549,11.32722759,,31019.013,33039.453,284.964,280.793,78.466,84.862,63.886,70.235,18.772,22.821,8.498,10.661,24.773,12.606,113.953,55.856,44.805,21.241,109.08,51.592
France,2013,65.9979,64387.734,116.776,39.773,0.515,12.131,1.973,8.79,81.979,3.597,1.806,116.297,2816077607875.0,42669.18,11.37891197,4855.29,13.98372078,10.17825317,,31181.964,33205.77,285.202,280.757,78.738,85.066,64.171,70.457,18.941,23.009,8.641,10.836,24.363,12.399,110.348,54.93,43.544,20.566,105.312,50.472
France,2014,66.3121,64692.493,117.328,40.033,0.43,12.063,1.974,8.573,82.437,3.477,0.809,52.342,2861236112552.0,43148.05,11.57935429,4996.27,14.14818859,11.10480595,,31323.019,33369.474,279.319,275.286,79.245,85.456,64.662,70.829,19.304,23.355,8.914,11.144,23.66,12.043,105.298,53.587,41.61,20.213,100.459,49.351
France,2015,66.5483,64916.336,117.734,40.286,0.261,11.711,1.927,9.094,82.149,3.636,-0.005,-0.345,2442483452642.0,36702.43,11.50032997,4220.9,14.51650238,10.9781208,,31416.099,33500.238,294.517,295.812,78.992,85.167,64.433,70.549,19.104,23.058,8.738,10.874,24.275,12.162,106.737,53.748,42.558,19.929,101.6,49.398
France,2016,66.7241,65086.855,118.044,40.52,0.263,11.441,1.892,9.045,82.401,3.607,0.239,15.548,2470407619777.0,37024.22,11.57036018,4283.84,15.17427444,10.71399021,,31501.022,33585.834,293.538,295.197,79.295,85.359,64.725,70.737,19.293,23.235,8.917,11.048,23.299,12.122,102.924,52.631,40.612,19.664,97.927,48.333
France,2017,66.918,65284.776,118.403,40.71,0.344,11.099,1.859,9.239,82.439,3.764,1.577,102.984,2588868323335.0,38687.16,11.44944572,4429.47,15.21064568,10.63998699,,31605.558,33679.217,298.102,305.084,79.421,85.314,64.854,70.707,19.335,23.197,8.941,11.016,23.093,11.993,100.39,52.687,39.806,19.046,95.362,48.228
France,2018,67.1583,65519.543,118.828,40.885,0.374,10.947,1.837,9.234,82.568,3.806,2.029,132.925,2781576320884.0,41418.18,11.30847645,4683.76,15.22242165,10.44571686,,31721.037,33798.505,300.219,304.759,79.544,85.454,64.991,70.845,19.439,23.335,9.057,11.156,23.581,11.934,99.4,52.649,39.825,19.311,94.203,48.209
France,2019,67.3821,65729.459,119.209,41.08,0.266,10.826,1.826,9.264,82.73,3.738,1.095,71.972,2722793515172.0,40408.28,11.17058277,4513.84,15.05257702,10.31887913,,31832.377,33897.082,301.149,307.741,79.752,85.571,65.204,70.953,19.56,23.409,9.165,11.221,23.63,11.954,97.019,51.36,39.134,18.84,91.763,47.028
France,2020,67.6011,65905.277,119.528,41.252,0.269,10.56,1.785,10.084,82.199,3.501,2.209,145.593,2647926055110.0,39169.86,12.12949371,4751.11,15.00467205,9.42379379,,31923.744,33981.533,331.151,333.406,79.179,85.137,64.584,70.499,18.906,22.924,8.697,10.843,22.547,11.43,97.67,51.028,39.239,18.516,92.925,46.904
France,2021,67.8428,66083.548,119.851,41.39,0.272,10.627,1.799,9.899,82.322,3.691,1.989,131.465,2966433692008.0,43725.1,12.24894238,5355.86,15.55704594,9.1691618,,32016.483,34067.065,328.65,325.519,79.26,85.299,64.691,70.677,19.059,23.094,8.912,11.078,23.338,11.727,98.661,50.392,39.864,18.094,93.623,46.094
France,2022,68.1845,66277.409,120.203,41.567,0.314,10.374,1.76,9.94,82.475,3.639,2.706,179.377,2794788137067.0,40988.64,11.82888794,4848.5,15.25470066,9.24756908,,32116.982,34160.427,334.391,324.407,79.32,85.564,64.777,70.958,19.114,23.284,8.897,11.23,25.888,11.97,98.542,48.57,42.002,18.054,93.199,44.086
France,2023,68.3723,66438.822,120.496,41.817,0.173,9.616,1.639,9.273,83.325,3.503,1.383,91.862,3056250648138.0,44700.14,11.51974583,5149.34,13.69694614,9.26032639,,32202.286,34236.535,305.527,310.568,80.428,86.088,65.852,71.445,19.999,23.776,9.406,11.449,21.504,10.913,91.112,48.2,35.819,17.255,86.207,44.169
France,2024,68.5517,66548.53,120.694,42.068,0.157,9.557,1.636,9.343,83.458,3.155,1.36,90.527,3160442622465.0,46103.08,11.53530598,5318.13,13.80644608,9.22742558,,32261.677,34286.854,308.78,312.986,80.586,86.203,65.968,71.542,20.162,23.86,9.434,11.462,20.695,10.659,91.572,47.969,36.114,17.523,87.156,44.146
